"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"","","","","","","","","Ben Parker","2016-12-12T16:56:14+00:00","https://opencorporates.com/users/23275","user","220 MANAGEMENT CORPORATION","us_nj","9005565000","https://opencorporates.com/companies/us_nj/9005565000","null"
"","","","","","","","","Ben Parker","2016-12-12T17:03:51+00:00","https://opencorporates.com/users/23275","user","TRUMP ENTERPRISES, INC.","us_ny","341397","https://opencorporates.com/companies/us_ny/341397","True"
"","","","","","","","","Ben Parker","2016-12-12T17:05:09+00:00","https://opencorporates.com/users/23275","user","D.J.T. REALTY LTD.","us_ny","551818","https://opencorporates.com/companies/us_ny/551818","True"
"","","","","","","","","Ben Parker","2016-12-12T18:56:49+00:00","https://opencorporates.com/users/23275","user","BUFFINGTON HARBOR RIVERBOATS, L.L.C.","us_in","1995091315","https://opencorporates.com/companies/us_in/1995091315","True"
"","","","","","","","","Ben Parker","2016-12-12T18:57:06+00:00","https://opencorporates.com/users/23275","user","BUFFINGTON HARBOR RIVERBOATS, L.L.C.","us_de","2546124","https://opencorporates.com/companies/us_de/2546124","null"
"","","","","","","","","Ben Parker","2016-12-12T18:58:14+00:00","https://opencorporates.com/users/23275","user","COUNTRY APARTMENTS, L.L.C.","us_va","S0204737","https://opencorporates.com/companies/us_va/S0204737","True"
"","","","","","","","","Ben Parker","2016-12-12T18:58:46+00:00","https://opencorporates.com/users/23275","user","COUNTRY PROPERTIES, L.L.C.","us_va","S0204745","https://opencorporates.com/companies/us_va/S0204745","True"
"","","","","","","","","Ben Parker","2016-12-12T19:01:26+00:00","https://opencorporates.com/users/23275","user","GRYMES HILL TENANTS CORP.","us_ny","743476","https://opencorporates.com/companies/us_ny/743476","True"
"","","","","","","","","Ben Parker","2016-12-12T19:05:24+00:00","https://opencorporates.com/users/23275","user","MEZZ 767 FIFTH AVENUE, LLC","us_ny","2270493","https://opencorporates.com/companies/us_ny/2270493","True"
"","","","","","","","","Ben Parker","2016-12-12T19:05:36+00:00","https://opencorporates.com/users/23275","user","MEZZ 767 FIFTH AVENUE, LLC","us_de","2901692","https://opencorporates.com/companies/us_de/2901692","null"
"","","","","","","","","Ben Parker","2016-12-12T19:17:10+00:00","https://opencorporates.com/users/23275","user","767 FIFTH AVENUE, LLC","us_ny","2270413","https://opencorporates.com/companies/us_ny/2270413","True"
"","","","","","","","","Ben Parker","2016-12-12T19:17:29+00:00","https://opencorporates.com/users/23275","user","767 FIFTH AVENUE, LLC","us_de","2901690","https://opencorporates.com/companies/us_de/2901690","null"
"","","","","","","","","Ben Parker","2016-12-12T19:17:51+00:00","https://opencorporates.com/users/23275","user","767 FIFTH AVENUE, LLC","us_ny","2270482","https://opencorporates.com/companies/us_ny/2270482","True"
"","","","","","","","","Ben Parker","2016-12-12T19:19:31+00:00","https://opencorporates.com/users/23275","user","BEACH HAVEN APARTMENTS NO. 2 INC.","us_ny","63239","https://opencorporates.com/companies/us_ny/63239","True"
"","","","","","","","","Ben Parker","2016-12-12T19:27:31+00:00","https://opencorporates.com/users/23275","user","TRUMP 845 UN DEVELOPMENT LLC","us_ny","2143389","https://opencorporates.com/companies/us_ny/2143389","True"
"","","","","","","","","Ben Parker","2016-12-12T19:29:00+00:00","https://opencorporates.com/users/23275","user","TRUMP BOOKS LLC","us_ny","4150858","https://opencorporates.com/companies/us_ny/4150858","False"
"","","","","","","","","Ben Parker","2016-12-12T19:30:23+00:00","https://opencorporates.com/users/23275","user","TRUMP CAROUSEL LLC","us_ny","3915926","https://opencorporates.com/companies/us_ny/3915926","False"
"","","","","","","","","Ben Parker","2016-12-12T19:30:58+00:00","https://opencorporates.com/users/23275","user","TRUMP CPS DEVELOPMENT LLC","us_ny","2077690","https://opencorporates.com/companies/us_ny/2077690","True"
